IW8,MW2,QW2,IW4
55215,55295,14336,65535
54994,55295,0,14336
54783,55295,0,0
54793,55295,0,0
54863,55295,0,0
54933,55295,0,0
55003,55295,0,0
55073,55295,0,0
55143,55295,0,0
55213,55295,0,0
55283,55295,0,0
55352,55295,36479,0
55422,55295,65535,36479
55484,55295,65535,65535
55386,55295,65535,65535
55163,55295,0,65535
54942,55295,0,0
54733,55295,0,0
54803,55295,0,0
54873,55295,0,0
54942,55295,0,0
55011,55295,0,0
55080,55295,0,0
55149,55295,0,0
55218,55295,0,0
55286,55295,0,0
55355,55295,38399,0
55484,55295,65535,65535
55484,55295,65535,65535
55152,55295,0,65535
54929,55295,0,0
54719,55295,0,0
54788,55295,0,0
54856,55295,0,0
54924,55295,0,0
54991,55295,0,0
55059,55295,0,0
55126,55295,0,0
55190,55295,0,0
55245,55295,0,0
55284,55295,0,0
55302,55295,4480,0
55294,55295,3840,4480
55256,55295,0,3839
55198,55295,0,0
55145,55295,0,0
55107,55295,0,0
55070,55295,0,0
55032,55295,0,0
54995,55295,0,0
54957,55295,0,0
54920,55295,0,0
54882,55295,0,0
54845,55295,0,0
54808,55295,0,0
54770,55295,0,0
54733,55295,0,0
54696,55295,0,0
54659,55295,0,0
54622,55295,0,0
